time_start,zone,afrr_up_price_eur_mw,afrr_up_volume_mw,afrr_down_price_eur_mw,afrr_down_volume_mw
2026-01-02T16:00:00,SN1,0.0,0.0,9.0,40.0
2026-01-02T16:00:00,SN2,0.0,0.0,9.0,176.0
2026-01-02T16:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T16:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T17:00:00,SN1,0.0,0.0,9.0,40.0
2026-01-02T17:00:00,SN2,0.0,0.0,9.0,176.0
2026-01-02T17:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T17:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T18:00:00,SN1,0.0,0.0,9.0,46.0
2026-01-02T18:00:00,SN2,0.0,0.0,9.0,178.0
2026-01-02T18:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T18:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T19:00:00,SN1,0.0,0.0,8.0,20.0
2026-01-02T19:00:00,SN2,0.0,0.0,8.0,132.0
2026-01-02T19:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T19:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T20:00:00,SN1,0.0,0.0,8.0,24.0
2026-01-02T20:00:00,SN2,0.0,0.0,8.0,128.0
2026-01-02T20:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T20:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T21:00:00,SN1,0.0,0.0,8.0,34.0
2026-01-02T21:00:00,SN2,0.0,0.0,8.5,150.0
2026-01-02T21:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T21:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T22:00:00,SN1,0.0,0.0,0.0,0.0
2026-01-02T22:00:00,SN2,0.0,0.0,5.5,76.0
2026-01-02T22:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T22:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-02T23:00:00,SN1,0.0,0.0,0.0,0.0
2026-01-02T23:00:00,SN2,0.0,0.0,6.5,108.0
2026-01-02T23:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-02T23:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T00:00:00,SN1,0.0,0.0,9.0,40.0
2026-01-03T00:00:00,SN2,0.0,0.0,12.0,65.0
2026-01-03T00:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-03T00:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T01:00:00,SN1,0.0,0.0,7.0,15.0
2026-01-03T01:00:00,SN2,0.0,0.0,5.5,20.0
2026-01-03T01:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-03T01:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T02:00:00,SN1,0.0,0.0,7.0,6.0
2026-01-03T02:00:00,SN2,0.0,0.0,5.5,20.0
2026-01-03T02:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-03T02:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T03:00:00,SN1,0.0,0.0,7.0,6.0
2026-01-03T03:00:00,SN2,0.0,0.0,5.5,20.0
2026-01-03T03:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-03T03:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T04:00:00,SN1,0.0,0.0,7.0,12.0
2026-01-03T04:00:00,SN2,0.0,0.0,5.5,40.0
2026-01-03T04:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-03T04:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T05:00:00,SN1,0.0,0.0,9.0,80.0
2026-01-03T05:00:00,SN2,0.0,0.0,10.0,120.0
2026-01-03T05:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-03T05:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T06:00:00,SN1,0.0,0.0,11.0,86.0
2026-01-03T06:00:00,SN2,0.0,0.0,11.0,150.0
