time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2025-01-02T08:00:00,SN4,15.0,3.0,3.0,45.0
2025-01-02T09:00:00,SN1,11.0,61.0,10.0,182.0
2025-01-02T09:00:00,SN2,11.0,83.0,4.0,342.0
2025-01-02T09:00:00,SN3,11.0,313.0,4.0,244.0
2025-01-02T09:00:00,SN4,11.0,3.0,4.0,41.0
2025-01-02T10:00:00,SN1,14.0,71.0,11.5,182.0
2025-01-02T10:00:00,SN2,14.0,84.0,4.0,349.0
2025-01-02T10:00:00,SN3,14.0,263.0,4.0,244.0
2025-01-02T10:00:00,SN4,14.0,3.0,3.0,36.0
2025-01-02T11:00:00,SN1,13.0,71.0,14.5,182.0
2025-01-02T11:00:00,SN2,13.0,83.0,4.0,351.0
2025-01-02T11:00:00,SN3,13.0,263.0,4.0,244.0
2025-01-02T11:00:00,SN4,13.0,3.0,4.0,32.0
2025-01-02T12:00:00,SN1,10.76,41.0,10.0,172.0
2025-01-02T12:00:00,SN2,10.76,83.0,4.0,394.0
2025-01-02T12:00:00,SN3,10.76,293.0,3.0,211.0
2025-01-02T12:00:00,SN4,10.76,3.0,3.0,29.0
2025-01-02T13:00:00,SN1,8.0,41.0,11.5,176.0
2025-01-02T13:00:00,SN2,8.0,83.0,4.0,393.0
2025-01-02T13:00:00,SN3,8.0,293.0,3.0,212.0
2025-01-02T13:00:00,SN4,8.0,3.0,3.0,31.0
2025-01-02T14:00:00,SN1,10.89,41.0,11.5,176.0
2025-01-02T14:00:00,SN2,10.89,83.0,3.0,398.0
2025-01-02T14:00:00,SN3,10.89,293.0,3.0,212.0
2025-01-02T14:00:00,SN4,10.89,3.0,3.0,36.0
2025-01-02T15:00:00,SN1,8.0,41.0,10.0,172.0
2025-01-02T15:00:00,SN2,8.0,83.0,4.0,454.0
2025-01-02T15:00:00,SN3,8.0,293.0,3.0,212.0
2025-01-02T15:00:00,SN4,8.0,3.0,3.0,41.0
2025-01-02T16:00:00,SN1,4.0,41.0,11.5,177.0
2025-01-02T16:00:00,SN2,10.0,63.0,8.0,573.0
2025-01-02T16:00:00,SN3,10.0,313.0,5.8,202.0
2025-01-02T16:00:00,SN4,10.0,3.0,5.8,36.0
2025-01-02T17:00:00,SN1,4.0,41.0,10.0,172.0
2025-01-02T17:00:00,SN2,8.0,65.0,8.0,574.0
2025-01-02T17:00:00,SN3,13.41,313.0,2.0,202.0
2025-01-02T17:00:00,SN4,13.41,3.0,2.0,38.0
2025-01-02T18:00:00,SN1,4.0,41.0,11.5,173.0
2025-01-02T18:00:00,SN2,8.0,65.0,10.0,570.0
2025-01-02T18:00:00,SN3,10.72,313.0,2.0,197.0
2025-01-02T18:00:00,SN4,10.72,3.0,2.0,44.0
2025-01-02T19:00:00,SN1,4.0,41.0,11.0,192.0
2025-01-02T19:00:00,SN2,8.0,65.0,7.6,548.0
2025-01-02T19:00:00,SN3,12.74,313.0,2.0,189.0
2025-01-02T19:00:00,SN4,12.74,3.0,2.0,52.0
2025-01-02T20:00:00,SN1,4.0,41.0,13.0,174.0
2025-01-02T20:00:00,SN2,8.0,65.0,3.0,402.0
2025-01-02T20:00:00,SN3,35.04,313.0,3.0,197.0
2025-01-02T20:00:00,SN4,35.04,3.0,3.0,52.0
2025-01-02T21:00:00,SN1,10.0,41.0,15.0,184.0
2025-01-02T21:00:00,SN2,10.0,65.0,3.0,402.0
2025-01-02T21:00:00,SN3,10.0,313.0,3.0,197.0
2025-01-02T21:00:00,SN4,10.0,3.0,3.0,52.0
2025-01-02T22:00:00,SN1,10.0,41.0,15.0,184.0
2025-01-02T22:00:00,SN2,10.0,65.0,8.0,563.0
2025-01-02T22:00:00,SN3,10.0,313.0,7.4,197.0
2025-01-02T22:00:00,SN4,10.0,3.0,7.4,43.0
2025-01-02T23:00:00,SN1,8.2,41.0,14.5,188.0
2025-01-02T23:00:00,SN2,8.2,40.0,3.0,402.0
2025-01-02T23:00:00,SN3,8.2,343.0,3.0,197.0
2025-01-02T23:00:00,SN4,8.2,3.0,3.0,52.0
2025-01-03T00:00:00,SN1,5.0,36.0,10.0,176.0
2025-01-03T00:00:00,SN2,5.0,68.0,5.0,411.0
2025-01-03T00:00:00,SN3,5.0,318.0,5.0,175.0
