ar,region,effektklass,solcellsanlaggningar_antal,installerad_effekt_(mw)
2016,0136 Haninge,< 20 kW,41.0,0.24
2016,0136 Haninge,20 kW - 1 000 kW,5.0,0.91
2016,0136 Haninge,> 1 000 kW,0.0,0.0
2016,0136 Haninge,Totalt,46.0,1.15
2016,0138 Tyresö,< 20 kW,18.0,0.1
2016,0138 Tyresö,20 kW - 1 000 kW,1.0,0.06
2016,0138 Tyresö,> 1 000 kW,0.0,0.0
2016,0138 Tyresö,Totalt,19.0,0.16
2016,0139 Upplands-Bro,< 20 kW,16.0,0.12
2016,0139 Upplands-Bro,20 kW - 1 000 kW,4.0,0.18
2016,0139 Upplands-Bro,> 1 000 kW,0.0,0.0
2016,0139 Upplands-Bro,Totalt,20.0,0.3
2016,0140 Nykvarn,< 20 kW,15.0,0.1
2016,0140 Nykvarn,20 kW - 1 000 kW,1.0,0.07
2016,0140 Nykvarn,> 1 000 kW,0.0,0.0
2016,0140 Nykvarn,Totalt,16.0,0.16
2016,0160 Täby,< 20 kW,..,..
2016,0160 Täby,20 kW - 1 000 kW,9.0,0.41
2016,0160 Täby,> 1 000 kW,0.0,0.0
2016,0160 Täby,Totalt,..,..
2016,0162 Danderyd,< 20 kW,15.0,0.13
2016,0162 Danderyd,20 kW - 1 000 kW,3.0,0.18
2016,0162 Danderyd,> 1 000 kW,0.0,0.0
2016,0162 Danderyd,Totalt,18.0,0.3
2016,0163 Sollentuna,< 20 kW,64.0,0.51
2016,0163 Sollentuna,20 kW - 1 000 kW,0.0,0.0
2016,0163 Sollentuna,> 1 000 kW,0.0,0.0
2016,0163 Sollentuna,Totalt,64.0,0.51
2016,0180 Stockholm,< 20 kW,104.0,0.94
2016,0180 Stockholm,20 kW - 1 000 kW,88.0,3.5
2016,0180 Stockholm,> 1 000 kW,0.0,0.0
2016,0180 Stockholm,Totalt,192.0,4.43
2016,0181 Södertälje,< 20 kW,43.0,0.34
2016,0181 Södertälje,20 kW - 1 000 kW,7.0,0.45
2016,0181 Södertälje,> 1 000 kW,0.0,0.0
2016,0181 Södertälje,Totalt,50.0,0.78
2016,0182 Nacka,< 20 kW,..,..
2016,0182 Nacka,20 kW - 1 000 kW,..,..
2016,0182 Nacka,> 1 000 kW,0.0,0.0
2016,0182 Nacka,Totalt,56.0,0.36
2016,0183 Sundbyberg,< 20 kW,..,..
2016,0183 Sundbyberg,20 kW - 1 000 kW,..,..
2016,0183 Sundbyberg,> 1 000 kW,0.0,0.0
2016,0183 Sundbyberg,Totalt,..,..
2016,0184 Solna,< 20 kW,7.0,0.07
2016,0184 Solna,20 kW - 1 000 kW,5.0,0.22
2016,0184 Solna,> 1 000 kW,0.0,0.0
2016,0184 Solna,Totalt,12.0,0.29
2016,0186 Lidingö,< 20 kW,19.0,0.16
2016,0186 Lidingö,20 kW - 1 000 kW,0.0,0.0
2016,0186 Lidingö,> 1 000 kW,0.0,0.0
2016,0186 Lidingö,Totalt,19.0,0.16
2016,0187 Vaxholm,< 20 kW,16.0,0.11
2016,0187 Vaxholm,20 kW - 1 000 kW,0.0,0.0
2016,0187 Vaxholm,> 1 000 kW,0.0,0.0
2016,0187 Vaxholm,Totalt,16.0,0.11
2016,0188 Norrtälje,< 20 kW,76.0,0.57
2016,0188 Norrtälje,20 kW - 1 000 kW,4.0,0.47
2016,0188 Norrtälje,> 1 000 kW,0.0,0.0
2016,0188 Norrtälje,Totalt,80.0,1.05
2016,0191 Sigtuna,< 20 kW,18.0,0.14
2016,0191 Sigtuna,20 kW - 1 000 kW,8.0,0.36
2016,0191 Sigtuna,> 1 000 kW,0.0,0.0
2016,0191 Sigtuna,Totalt,26.0,0.5
2016,0192 Nynäshamn,< 20 kW,19.0,0.09
2016,0192 Nynäshamn,20 kW - 1 000 kW,1.0,0.02
2016,0192 Nynäshamn,> 1 000 kW,0.0,0.0
2016,0192 Nynäshamn,Totalt,20.0,0.11
2016,0305 Håbo,< 20 kW,16.0,0.14
2016,0305 Håbo,20 kW - 1 000 kW,7.0,0.27
2016,0305 Håbo,> 1 000 kW,0.0,0.0
2016,0305 Håbo,Totalt,23.0,0.41
2016,0319 Älvkarleby,< 20 kW,7.0,0.04
2016,0319 Älvkarleby,20 kW - 1 000 kW,0.0,0.0
2016,0319 Älvkarleby,> 1 000 kW,0.0,0.0
2016,0319 Älvkarleby,Totalt,7.0,0.04
2016,0330 Knivsta,< 20 kW,25.0,0.16
2016,0330 Knivsta,20 kW - 1 000 kW,2.0,0.07
2016,0330 Knivsta,> 1 000 kW,0.0,0.0
2016,0330 Knivsta,Totalt,27.0,0.23
2016,0331 Heby,< 20 kW,24.0,0.17
2016,0331 Heby,20 kW - 1 000 kW,7.0,0.59
2016,0331 Heby,> 1 000 kW,0.0,0.0
2016,0331 Heby,Totalt,31.0,0.76
2016,0360 Tierp,< 20 kW,12.0,0.11
2016,0360 Tierp,20 kW - 1 000 kW,3.0,0.08
2016,0360 Tierp,> 1 000 kW,0.0,0.0
2016,0360 Tierp,Totalt,15.0,0.19
2016,0380 Uppsala,< 20 kW,262.0,2.0
2016,0380 Uppsala,20 kW - 1 000 kW,50.0,2.43
2016,0380 Uppsala,> 1 000 kW,0.0,0.0
2016,0380 Uppsala,Totalt,312.0,4.43
2016,0381 Enköping,< 20 kW,46.0,0.42
2016,0381 Enköping,20 kW - 1 000 kW,7.0,0.34
2016,0381 Enköping,> 1 000 kW,0.0,0.0
2016,0381 Enköping,Totalt,53.0,0.76
2016,0382 Östhammar,< 20 kW,41.0,0.33
2016,0382 Östhammar,20 kW - 1 000 kW,8.0,0.2
2016,0382 Östhammar,> 1 000 kW,0.0,0.0
2016,0382 Östhammar,Totalt,49.0,0.52
2016,0428 Vingåker,< 20 kW,18.0,0.14
2016,0428 Vingåker,20 kW - 1 000 kW,2.0,0.06
2016,0428 Vingåker,> 1 000 kW,0.0,0.0
2016,0428 Vingåker,Totalt,20.0,0.2
2016,0461 Gnesta,< 20 kW,14.0,0.1
2016,0461 Gnesta,20 kW - 1 000 kW,2.0,0.16
2016,0461 Gnesta,> 1 000 kW,0.0,0.0
2016,0461 Gnesta,Totalt,16.0,0.26
2016,0480 Nyköping,< 20 kW,52.0,0.42
2016,0480 Nyköping,20 kW - 1 000 kW,9.0,0.55
2016,0480 Nyköping,> 1 000 kW,0.0,0.0
2016,0480 Nyköping,Totalt,61.0,0.96
2016,0481 Oxelösund,< 20 kW,3.0,0.01
2016,0481 Oxelösund,20 kW - 1 000 kW,3.0,0.08
2016,0481 Oxelösund,> 1 000 kW,0.0,0.0
2016,0481 Oxelösund,Totalt,6.0,0.09
2016,0482 Flen,< 20 kW,27.0,0.26
2016,0482 Flen,20 kW - 1 000 kW,5.0,0.17
2016,0482 Flen,> 1 000 kW,0.0,0.0
2016,0482 Flen,Totalt,32.0,0.43
2016,0483 Katrineholm,< 20 kW,55.0,0.37
2016,0483 Katrineholm,20 kW - 1 000 kW,13.0,0.74
2016,0483 Katrineholm,> 1 000 kW,1.0,1.02
2016,0483 Katrineholm,Totalt,69.0,2.13
2016,0484 Eskilstuna,< 20 kW,93.0,0.72
2016,0484 Eskilstuna,20 kW - 1 000 kW,29.0,1.41
2016,0484 Eskilstuna,> 1 000 kW,0.0,0.0
2016,0484 Eskilstuna,Totalt,122.0,2.13
2016,0486 Strängnäs,< 20 kW,50.0,0.42
2016,0486 Strängnäs,20 kW - 1 000 kW,18.0,0.96
2016,0486 Strängnäs,> 1 000 kW,0.0,0.0
2016,0486 Strängnäs,Totalt,68.0,1.37
2016,0488 Trosa,< 20 kW,20.0,0.11
2016,0488 Trosa,20 kW - 1 000 kW,3.0,0.07
2016,0488 Trosa,> 1 000 kW,0.0,0.0
2016,0488 Trosa,Totalt,23.0,0.18
2016,0509 Ödeshög,< 20 kW,16.0,0.16
2016,0509 Ödeshög,20 kW - 1 000 kW,5.0,0.15
2016,0509 Ödeshög,> 1 000 kW,0.0,0.0
2016,0509 Ödeshög,Totalt,21.0,0.31
2016,0512 Ydre,< 20 kW,7.0,0.08
2016,0512 Ydre,20 kW - 1 000 kW,1.0,0.04
2016,0512 Ydre,> 1 000 kW,0.0,0.0
2016,0512 Ydre,Totalt,8.0,0.12
2016,0513 Kinda,< 20 kW,27.0,0.2
2016,0513 Kinda,20 kW - 1 000 kW,2.0,0.06
2016,0513 Kinda,> 1 000 kW,0.0,0.0
2016,0513 Kinda,Totalt,29.0,0.26
2016,0560 Boxholm,< 20 kW,15.0,0.13
2016,0560 Boxholm,20 kW - 1 000 kW,3.0,0.18
2016,0560 Boxholm,> 1 000 kW,0.0,0.0
2016,0560 Boxholm,Totalt,18.0,0.31
2016,0561 Åtvidaberg,< 20 kW,16.0,0.14
2016,0561 Åtvidaberg,20 kW - 1 000 kW,4.0,0.12
2016,0561 Åtvidaberg,> 1 000 kW,0.0,0.0
2016,0561 Åtvidaberg,Totalt,20.0,0.26
2016,0562 Finspång,< 20 kW,33.0,0.29
2016,0562 Finspång,20 kW - 1 000 kW,6.0,0.2
2016,0562 Finspång,> 1 000 kW,0.0,0.0
2016,0562 Finspång,Totalt,39.0,0.49
2016,0563 Valdemarsvik,< 20 kW,21.0,0.21
2016,0563 Valdemarsvik,20 kW - 1 000 kW,3.0,0.16
2016,0563 Valdemarsvik,> 1 000 kW,0.0,0.0
2016,0563 Valdemarsvik,Totalt,24.0,0.37
2016,0580 Linköping,< 20 kW,176.0,1.45
2016,0580 Linköping,20 kW - 1 000 kW,91.0,3.92
2016,0580 Linköping,> 1 000 kW,0.0,0.0
2016,0580 Linköping,Totalt,267.0,5.36
2016,0581 Norrköping,< 20 kW,94.0,0.8
2016,0581 Norrköping,20 kW - 1 000 kW,36.0,2.68
2016,0581 Norrköping,> 1 000 kW,0.0,0.0
2016,0581 Norrköping,Totalt,130.0,3.48
2016,0582 Söderköping,< 20 kW,37.0,0.32
2016,0582 Söderköping,20 kW - 1 000 kW,5.0,0.13
2016,0582 Söderköping,> 1 000 kW,0.0,0.0
2016,0582 Söderköping,Totalt,42.0,0.45
2016,0583 Motala,< 20 kW,91.0,0.72
2016,0583 Motala,20 kW - 1 000 kW,12.0,0.51
2016,0583 Motala,> 1 000 kW,0.0,0.0
2016,0583 Motala,Totalt,103.0,1.23
2016,0584 Vadstena,< 20 kW,22.0,0.23
2016,0584 Vadstena,20 kW - 1 000 kW,6.0,0.33
2016,0584 Vadstena,> 1 000 kW,0.0,0.0
2016,0584 Vadstena,Totalt,28.0,0.56
2016,0586 Mjölby,< 20 kW,36.0,0.28
2016,0586 Mjölby,20 kW - 1 000 kW,20.0,0.78
2016,0586 Mjölby,> 1 000 kW,0.0,0.0
2016,0586 Mjölby,Totalt,56.0,1.06
2016,0604 Aneby,< 20 kW,12.0,0.15
2016,0604 Aneby,20 kW - 1 000 kW,1.0,0.04
2016,0604 Aneby,> 1 000 kW,0.0,0.0
2016,0604 Aneby,Totalt,13.0,0.18
2016,0617 Gnosjö,< 20 kW,6.0,0.07
2016,0617 Gnosjö,20 kW - 1 000 kW,1.0,0.05
2016,0617 Gnosjö,> 1 000 kW,0.0,0.0
2016,0617 Gnosjö,Totalt,7.0,0.12
2016,0642 Mullsjö,< 20 kW,14.0,0.15
2016,0642 Mullsjö,20 kW - 1 000 kW,3.0,0.11
2016,0642 Mullsjö,> 1 000 kW,0.0,0.0
2016,0642 Mullsjö,Totalt,17.0,0.26
2016,0643 Habo,< 20 kW,..,..
2016,0643 Habo,20 kW - 1 000 kW,0.0,0.0
2016,0643 Habo,> 1 000 kW,0.0,0.0
2016,0643 Habo,Totalt,..,..
2016,0662 Gislaved,< 20 kW,49.0,0.45
2016,0662 Gislaved,20 kW - 1 000 kW,2.0,0.07
2016,0662 Gislaved,> 1 000 kW,0.0,0.0
2016,0662 Gislaved,Totalt,51.0,0.52
2016,0665 Vaggeryd,< 20 kW,18.0,0.12
2016,0665 Vaggeryd,20 kW - 1 000 kW,1.0,0.04
2016,0665 Vaggeryd,> 1 000 kW,0.0,0.0
2016,0665 Vaggeryd,Totalt,19.0,0.17
2016,0680 Jönköping,< 20 kW,80.0,0.71
2016,0680 Jönköping,20 kW - 1 000 kW,26.0,1.71
2016,0680 Jönköping,> 1 000 kW,0.0,0.0
2016,0680 Jönköping,Totalt,106.0,2.42
2016,0682 Nässjö,< 20 kW,56.0,0.46
2016,0682 Nässjö,20 kW - 1 000 kW,7.0,0.23
2016,0682 Nässjö,> 1 000 kW,0.0,0.0
2016,0682 Nässjö,Totalt,63.0,0.7
2016,0683 Värnamo,< 20 kW,59.0,0.56
2016,0683 Värnamo,20 kW - 1 000 kW,15.0,0.68
2016,0683 Värnamo,> 1 000 kW,0.0,0.0
2016,0683 Värnamo,Totalt,74.0,1.24
2016,0684 Sävsjö,< 20 kW,..,..
2016,0684 Sävsjö,20 kW - 1 000 kW,7.0,0.31
2016,0684 Sävsjö,> 1 000 kW,0.0,0.0
2016,0684 Sävsjö,Totalt,..,..
2016,0685 Vetlanda,< 20 kW,51.0,0.46
2016,0685 Vetlanda,20 kW - 1 000 kW,12.0,0.4
2016,0685 Vetlanda,> 1 000 kW,0.0,0.0
2016,0685 Vetlanda,Totalt,63.0,0.85
2016,0686 Eksjö,< 20 kW,21.0,0.22
2016,0686 Eksjö,20 kW - 1 000 kW,3.0,0.09
2016,0686 Eksjö,> 1 000 kW,0.0,0.0
2016,0686 Eksjö,Totalt,24.0,0.31
2016,0687 Tranås,< 20 kW,13.0,0.13
2016,0687 Tranås,20 kW - 1 000 kW,2.0,0.09
2016,0687 Tranås,> 1 000 kW,0.0,0.0
2016,0687 Tranås,Totalt,15.0,0.22
2016,0760 Uppvidinge,< 20 kW,18.0,0.15
2016,0760 Uppvidinge,20 kW - 1 000 kW,2.0,0.29
2016,0760 Uppvidinge,> 1 000 kW,0.0,0.0
2016,0760 Uppvidinge,Totalt,20.0,0.45
2016,0761 Lessebo,< 20 kW,4.0,0.02
2016,0761 Lessebo,20 kW - 1 000 kW,0.0,0.0
2016,0761 Lessebo,> 1 000 kW,0.0,0.0
2016,0761 Lessebo,Totalt,4.0,0.02
2016,0763 Tingsryd,< 20 kW,30.0,0.28
2016,0763 Tingsryd,20 kW - 1 000 kW,3.0,0.11
2016,0763 Tingsryd,> 1 000 kW,0.0,0.0
2016,0763 Tingsryd,Totalt,33.0,0.39
2016,0764 Alvesta,< 20 kW,36.0,0.36
2016,0764 Alvesta,20 kW - 1 000 kW,3.0,0.17
2016,0764 Alvesta,> 1 000 kW,0.0,0.0
2016,0764 Alvesta,Totalt,39.0,0.54
2016,0765 Älmhult,< 20 kW,26.0,0.2
2016,0765 Älmhult,20 kW - 1 000 kW,1.0,0.02
2016,0765 Älmhult,> 1 000 kW,0.0,0.0
2016,0765 Älmhult,Totalt,27.0,0.22
2016,0767 Markaryd,< 20 kW,17.0,0.15
2016,0767 Markaryd,20 kW - 1 000 kW,0.0,0.0
2016,0767 Markaryd,> 1 000 kW,0.0,0.0
2016,0767 Markaryd,Totalt,17.0,0.15
2016,0780 Växjö,< 20 kW,62.0,0.47
2016,0780 Växjö,20 kW - 1 000 kW,12.0,0.58
2016,0780 Växjö,> 1 000 kW,0.0,0.0
2016,0780 Växjö,Totalt,74.0,1.04
2016,0781 Ljungby,< 20 kW,45.0,0.35
2016,0781 Ljungby,20 kW - 1 000 kW,9.0,0.7
2016,0781 Ljungby,> 1 000 kW,0.0,0.0
2016,0781 Ljungby,Totalt,54.0,1.05
2016,0821 Högsby,< 20 kW,9.0,0.06
2016,0821 Högsby,20 kW - 1 000 kW,2.0,0.06
2016,0821 Högsby,> 1 000 kW,0.0,0.0
2016,0821 Högsby,Totalt,11.0,0.13
2016,0834 Torsås,< 20 kW,8.0,0.07
2016,0834 Torsås,20 kW - 1 000 kW,0.0,0.0
2016,0834 Torsås,> 1 000 kW,0.0,0.0
2016,0834 Torsås,Totalt,8.0,0.07
2016,0840 Mörbylånga,< 20 kW,34.0,0.23
2016,0840 Mörbylånga,20 kW - 1 000 kW,4.0,0.15
2016,0840 Mörbylånga,> 1 000 kW,0.0,0.0
2016,0840 Mörbylånga,Totalt,38.0,0.38
2016,0860 Hultsfred,< 20 kW,14.0,0.1
2016,0860 Hultsfred,20 kW - 1 000 kW,1.0,0.02
2016,0860 Hultsfred,> 1 000 kW,0.0,0.0
2016,0860 Hultsfred,Totalt,15.0,0.13
2016,0861 Mönsterås,< 20 kW,7.0,0.06
2016,0861 Mönsterås,20 kW - 1 000 kW,6.0,0.57
2016,0861 Mönsterås,> 1 000 kW,0.0,0.0
2016,0861 Mönsterås,Totalt,13.0,0.63
2016,0862 Emmaboda,< 20 kW,16.0,0.16
2016,0862 Emmaboda,20 kW - 1 000 kW,0.0,0.0
2016,0862 Emmaboda,> 1 000 kW,0.0,0.0
2016,0862 Emmaboda,Totalt,16.0,0.16
2016,0880 Kalmar,< 20 kW,68.0,0.5
2016,0880 Kalmar,20 kW - 1 000 kW,2.0,0.55
2016,0880 Kalmar,> 1 000 kW,0.0,0.0
2016,0880 Kalmar,Totalt,70.0,1.05
2016,0881 Nybro,< 20 kW,12.0,0.1
2016,0881 Nybro,20 kW - 1 000 kW,0.0,0.0
2016,0881 Nybro,> 1 000 kW,0.0,0.0
2016,0881 Nybro,Totalt,12.0,0.1
2016,0882 Oskarshamn,< 20 kW,22.0,0.17
2016,0882 Oskarshamn,20 kW - 1 000 kW,3.0,0.07
2016,0882 Oskarshamn,> 1 000 kW,0.0,0.0
2016,0882 Oskarshamn,Totalt,25.0,0.24
2016,0883 Västervik,< 20 kW,69.0,0.56
2016,0883 Västervik,20 kW - 1 000 kW,11.0,0.47
2016,0883 Västervik,> 1 000 kW,0.0,0.0
2016,0883 Västervik,Totalt,80.0,1.03
2016,0884 Vimmerby,< 20 kW,22.0,0.17
2016,0884 Vimmerby,20 kW - 1 000 kW,7.0,0.36
2016,0884 Vimmerby,> 1 000 kW,0.0,0.0
2016,0884 Vimmerby,Totalt,29.0,0.53
2016,0885 Borgholm,< 20 kW,44.0,0.31
2016,0885 Borgholm,20 kW - 1 000 kW,2.0,0.1
2016,0885 Borgholm,> 1 000 kW,0.0,0.0
2016,0885 Borgholm,Totalt,46.0,0.41
2016,0980 Gotland,< 20 kW,217.0,1.52
2016,0980 Gotland,20 kW - 1 000 kW,25.0,0.76
2016,0980 Gotland,> 1 000 kW,0.0,0.0
2016,0980 Gotland,Totalt,242.0,2.28
2016,1060 Olofström,< 20 kW,17.0,0.13
2016,1060 Olofström,20 kW - 1 000 kW,0.0,0.0
2016,1060 Olofström,> 1 000 kW,0.0,0.0
2016,1060 Olofström,Totalt,17.0,0.13
2016,1080 Karlskrona,< 20 kW,85.0,0.63
2016,1080 Karlskrona,20 kW - 1 000 kW,5.0,1.02
2016,1080 Karlskrona,> 1 000 kW,0.0,0.0
2016,1080 Karlskrona,Totalt,90.0,1.64
2016,1081 Ronneby,< 20 kW,29.0,0.24
2016,1081 Ronneby,20 kW - 1 000 kW,9.0,0.43
2016,1081 Ronneby,> 1 000 kW,0.0,0.0
2016,1081 Ronneby,Totalt,38.0,0.67
2016,1082 Karlshamn,< 20 kW,29.0,0.23
2016,1082 Karlshamn,20 kW - 1 000 kW,6.0,0.3
2016,1082 Karlshamn,> 1 000 kW,0.0,0.0
2016,1082 Karlshamn,Totalt,35.0,0.53
2016,1083 Sölvesborg,< 20 kW,26.0,0.17
2016,1083 Sölvesborg,20 kW - 1 000 kW,3.0,0.1
2016,1083 Sölvesborg,> 1 000 kW,0.0,0.0
2016,1083 Sölvesborg,Totalt,29.0,0.27
2016,1214 Svalöv,< 20 kW,14.0,0.12
2016,1214 Svalöv,20 kW - 1 000 kW,7.0,0.35
2016,1214 Svalöv,> 1 000 kW,0.0,0.0
2016,1214 Svalöv,Totalt,21.0,0.47
2016,1230 Staffanstorp,< 20 kW,12.0,0.11
2016,1230 Staffanstorp,20 kW - 1 000 kW,4.0,0.1
2016,1230 Staffanstorp,> 1 000 kW,0.0,0.0
2016,1230 Staffanstorp,Totalt,16.0,0.21
2016,1231 Burlöv,< 20 kW,9.0,0.09
2016,1231 Burlöv,20 kW - 1 000 kW,1.0,0.1
2016,1231 Burlöv,> 1 000 kW,0.0,0.0
2016,1231 Burlöv,Totalt,10.0,0.19
2016,1233 Vellinge,< 20 kW,31.0,0.27
2016,1233 Vellinge,20 kW - 1 000 kW,2.0,0.05
2016,1233 Vellinge,> 1 000 kW,0.0,0.0
2016,1233 Vellinge,Totalt,33.0,0.33
2016,1256 Östra Göinge,< 20 kW,31.0,0.23
2016,1256 Östra Göinge,20 kW - 1 000 kW,1.0,0.05
