time_start,fcr_n_price_eur_mw,fcr_n_volume_mw,fcr_d_up_price_eur_mw,fcr_d_up_volume_mw,fcr_d_down_price_eur_mw,fcr_d_down_volume_mw
2025-01-06T06:00:00,14.201416666666667,240.0,11.032263814616757,561.0,2.9397096498719044,585.5
2025-01-06T07:00:00,16.9375,240.0,11.23065953654189,561.0,3.2742504409171076,567.0
2025-01-06T08:00:00,20.5375,240.0,11.632798573975045,561.0,2.1664642490591857,584.6
2025-01-06T09:00:00,16.958333333333332,240.0,11.674688057040997,561.0,3.2147619047619047,567.0
2025-01-06T10:00:00,16.355,240.0,11.075935828877006,561.0,3.21,567.0
2025-01-06T11:00:00,15.241529105125977,230.2,12.410818181818183,561.0,3.2157142857142857,567.0
2025-01-06T12:00:00,15.573333333333334,240.0,10.95650623885918,561.0,3.2071428571428573,567.0
2025-01-06T13:00:00,15.294666666666666,240.0,10.937967914438502,561.0,3.202469135802469,567.0
2025-01-06T14:00:00,14.48675,240.0,8.79048128342246,561.0,3.2038765432098764,567.0
2025-01-06T15:00:00,14.482875,240.0,9.320189328743545,581.0,3.153804347826087,552.0
2025-01-06T16:00:00,14.455333333333334,240.0,8.0,581.4,4.638077601410934,567.0
2025-01-06T17:00:00,14.436166666666667,240.0,7.126528996730339,581.1,3.2389770723104054,567.0
2025-01-06T18:00:00,13.766666666666667,240.0,2.7956705165222973,623.4,2.190095238095238,567.0
2025-01-06T19:00:00,12.250241666666666,240.0,2.479657113613101,586.2,2.1062228260869564,552.0
2025-01-06T20:00:00,11.957119136571192,240.9,5.7902530120481925,581.0,2.266380952380952,567.0
2025-01-06T21:00:00,12.152375,240.0,5.828710843373494,581.0,3.2627865961199296,567.0
2025-01-06T22:00:00,12.152375,240.0,6.266818181818182,561.0,3.255731922398589,567.0
2025-01-06T23:00:00,12.19227478403949,243.1,2.3525151515151514,561.0,2.45598185788678,595.3
2025-01-07T00:00:00,13.406434782608695,230.0,1.1571907308377896,561.0,2.7994627012816298,608.6
2025-01-07T01:00:00,13.930425,240.0,1.1473373493975905,581.0,3.17105677979733,621.7
2025-01-07T02:00:00,13.91035,240.0,1.1496144578313252,581.0,3.877762943666558,614.2
2025-01-07T03:00:00,14.031358333333333,240.0,1.1162134251290878,581.0,2.479636274669711,613.1
2025-01-07T04:00:00,13.333,240.0,1.0935972461273666,581.0,3.3594965675057207,611.8
2025-01-07T05:00:00,13.381565217391305,230.0,1.0396385542168676,581.0,2.477335606429615,615.9
2025-01-07T06:00:00,15.009666666666666,240.0,1.1411978609625668,561.0,1.2405192244495564,608.6
2025-01-07T07:00:00,15.5084,240.0,2.6996648841354722,561.0,1.1397827160493827,607.5
2025-01-07T08:00:00,15.5084,240.0,1.4203083778966132,561.0,1.1676963522839303,608.6
2025-01-07T09:00:00,15.5084,240.0,1.8582245989304813,561.0,1.185071253071253,610.5
2025-01-07T10:00:00,15.5084,240.0,1.226705882352941,561.0,1.1706056616194864,607.6
2025-01-07T11:00:00,15.1682,240.0,1.3096898395721925,561.0,1.249549786395005,608.6
2025-01-07T12:00:00,16.1225,240.0,1.0850053475935828,561.0,1.2676756045402204,607.9
2025-01-07T13:00:00,16.120208333333334,240.0,1.085204991087344,561.0,1.2806227407163984,608.6
2025-01-07T14:00:00,15.719833333333334,240.0,2.2414438502673795,561.0,1.5941669405192245,608.6
2025-01-07T15:00:00,15.719833333333334,240.0,2.2273115318416523,581.0,1.561817882971729,608.4
2025-01-07T16:00:00,15.65375,240.0,2.0511925566343043,618.0,1.5335510688836105,589.4
2025-01-07T17:00:00,14.504187577128754,243.1,1.9193843098311818,604.2,1.34,588.7
2025-01-07T18:00:00,14.708766666666667,240.0,3.0,617.0,4.621622574955908,567.0
2025-01-07T19:00:00,14.808860249697947,248.3,3.0,621.1,3.1522029830276015,583.3
2025-01-07T20:00:00,15.074375,240.0,2.7892852574352416,625.4,2.269217877094972,608.6
2025-01-07T21:00:00,15.541198501872659,240.3,2.5578141135972463,581.0,2.2696089385474862,608.6
