month,day,hour,power_mw
1,19,21,0.0
1,19,22,0.0
1,19,23,0.0
1,20,0,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,20,4,0.0
1,20,5,0.0
1,20,6,0.0
1,20,7,0.0
1,20,8,0.0
1,20,9,0.01178
1,20,10,0.038658
1,20,11,0.059507
1,20,12,0.065956
1,20,13,0.0894
1,20,14,0.055766
1,20,15,0.010034
1,20,16,0.0
1,20,17,0.0
1,20,18,0.0
1,20,19,0.0
1,20,20,0.0
1,20,21,0.0
1,20,22,0.0
1,20,23,0.0
1,21,0,0.0
1,21,1,0.0
1,21,2,0.0
1,21,3,0.0
1,21,4,0.0
1,21,5,0.0
1,21,6,0.0
1,21,7,0.0
1,21,8,0.0
1,21,9,0.035175
1,21,10,0.042156
1,21,11,0.12464
1,21,12,0.218665
1,21,13,0.145336
1,21,14,0.124512
1,21,15,0.027853
1,21,16,0.0
1,21,17,0.0
1,21,18,0.0
1,21,19,0.0
1,21,20,0.0
1,21,21,0.0
1,21,22,0.0
1,21,23,0.0
1,22,0,0.0
1,22,1,0.0
1,22,2,0.0
1,22,3,0.0
1,22,4,0.0
1,22,5,0.0
1,22,6,0.0
1,22,7,0.0
1,22,8,0.0
1,22,9,0.012673
1,22,10,0.018228
1,22,11,0.025752
1,22,12,0.032037
1,22,13,0.018666
1,22,14,0.040134
1,22,15,0.01146
1,22,16,0.0
1,22,17,0.0
1,22,18,0.0
1,22,19,0.0
1,22,20,0.0
1,22,21,0.0
1,22,22,0.0
1,22,23,0.0
1,23,0,0.0
1,23,1,0.0
1,23,2,0.0
1,23,3,0.0
1,23,4,0.0
1,23,5,0.0
1,23,6,0.0
1,23,7,0.0
1,23,8,0.0
1,23,9,0.014611
1,23,10,0.026668
1,23,11,0.022013
1,23,12,0.051853
1,23,13,0.047035
1,23,14,0.039355
1,23,15,0.004881
1,23,16,0.0
1,23,17,0.0
1,23,18,0.0
1,23,19,0.0
1,23,20,0.0
1,23,21,0.0
1,23,22,0.0
1,23,23,0.0
1,24,0,0.0
1,24,1,0.0
1,24,2,0.0
1,24,3,0.0
1,24,4,0.0
1,24,5,0.0
1,24,6,0.0
1,24,7,0.0
1,24,8,0.0
1,24,9,0.011193
1,24,10,0.024367
1,24,11,0.025378
1,24,12,0.01265
1,24,13,0.032072
1,24,14,0.014618
1,24,15,0.004703
1,24,16,0.0
1,24,17,0.0
1,24,18,0.0
1,24,19,0.0
1,24,20,0.0
1,24,21,0.0
1,24,22,0.0
1,24,23,0.0
1,25,0,0.0
1,25,1,0.0
1,25,2,0.0
1,25,3,0.0
1,25,4,0.0
1,25,5,0.0
1,25,6,0.0
1,25,7,0.0
1,25,8,0.0
1,25,9,0.043811
1,25,10,0.122424
1,25,11,0.094058
1,25,12,0.082572
1,25,13,0.060617
1,25,14,0.042706
1,25,15,0.017739
1,25,16,0.0
1,25,17,0.0
1,25,18,0.0
1,25,19,0.0
1,25,20,0.0
1,25,21,0.0
1,25,22,0.0
1,25,23,0.0
1,26,0,0.0
1,26,1,0.0
1,26,2,0.0
1,26,3,0.0
1,26,4,0.0
1,26,5,0.0
1,26,6,0.0
1,26,7,0.0
1,26,8,0.0
1,26,9,0.021664
1,26,10,0.035304
1,26,11,0.024558
1,26,12,0.041842
1,26,13,0.034933
1,26,14,0.02286
1,26,15,0.004458
1,26,16,0.0
1,26,17,0.0
1,26,18,0.0
1,26,19,0.0
1,26,20,0.0
1,26,21,0.0
1,26,22,0.0
1,26,23,0.0
1,27,0,0.0
1,27,1,0.0
1,27,2,0.0
1,27,3,0.0
1,27,4,0.0
1,27,5,0.0
1,27,6,0.0
1,27,7,0.0
1,27,8,0.0
1,27,9,0.014955
1,27,10,0.014525
1,27,11,0.018519
1,27,12,0.015197
1,27,13,0.011196
1,27,14,0.011251
1,27,15,0.015561
1,27,16,0.0
1,27,17,0.0
1,27,18,0.0
1,27,19,0.0
1,27,20,0.0
1,27,21,0.0
1,27,22,0.0
1,27,23,0.0
1,28,0,0.0
1,28,1,0.0
1,28,2,0.0
1,28,3,0.0
1,28,4,0.0
1,28,5,0.0
1,28,6,0.0
1,28,7,0.0
1,28,8,0.0
1,28,9,0.005017
1,28,10,0.008902
1,28,11,0.026394
1,28,12,0.028037
1,28,13,0.044182
1,28,14,0.01297
1,28,15,0.003507
1,28,16,0.0
1,28,17,0.0
1,28,18,0.0
1,28,19,0.0
1,28,20,0.0
1,28,21,0.0
